rank,state,exposure_score,driver,outage_burden,infra_concentration,exposure_deficit,saidi_minutes,fuel_hhi,top_plant_share,capacity_margin
1,WV,100.0,infra_concentration,1.1780017132638532,2.7117745201937278,1.4115960406185282,751.5,6995.4,0.1868,1.057
2,MS,99.4,infra_concentration,1.559403943892299,2.371464733616829,1.0720875050291578,877.8,7167.0,0.1309,1.058
3,ME,93.0,outage_burden,3.9026736705837934,-0.7711760900042277,-0.07900686061657312,1863.0,2008.2,0.1549,1.374
4,OK,76.6,outage_burden,2.2783341323050834,-0.11907793038635421,0.27139210093157,1339.4,4319.7,0.0505,1.238
5,AR,72.6,exposure_deficit,1.4176323968759432,-0.20100093342819272,1.4791686515336178,915.3,3047.1,0.1423,0.9
6,KY,67.1,outage_burden,1.1910008692355967,0.6913921218329742,0.21927826773183964,861.5,4707.8,0.1198,1.389
7,RI,64.5,infra_concentration,-0.8485268586171172,2.817175197052472,1.0617816532189182,104.6,6481.8,0.241,1.062
8,LA,62.1,outage_burden,0.789176816744995,0.5081992992865314,0.6166381365745929,663.2,4857.7,0.0851,1.104
9,HI,60.2,infra_concentration,0.8186097474034765,0.992304439213614,-0.22387336010845843,248.8,4462.8,0.1767,1.561
10,MI,53.9,outage_burden,1.6056118832284614,-0.852078883503434,-0.11964569370899769,1127.7,2580.9,0.099,1.259
11,AK,52.3,outage_burden,1.0501179050502762,-0.3285269973588359,0.07815737948957961,499.4,3226.9,0.1121,1.313
12,MA,50.8,exposure_deficit,-0.3900921607335586,0.9247288949387302,1.007675931215161,265.3,5061.1,0.1204,1.083
13,WA,46.5,infra_concentration,-0.629696212801555,1.6553913282983026,0.09420073135347175,153.8,4997.5,0.216,1.176
14,NH,46.4,outage_burden,0.4660344127982316,0.1048385717277943,-0.03263052747049535,590.6,2020.8,0.2624,1.356
15,DC,46.2,exposure_deficit,-1.0958601696418122,0.926117872840717,1.7705471315313117,71.9,3456.7,0.2491,1.31
16,VT,45.9,exposure_deficit,0.5829244085665582,-1.2113312710866049,1.2879258188956544,486.3,2366.2,0.0717,1.105
17,TN,45.3,outage_burden,1.7379465275165669,-0.8964980552813541,-1.2352541521674232,926.9,2416.1,0.1067,1.692
18,WY,41.7,infra_concentration,-0.7470165059118417,1.5458086754159774,-0.0944656383319318,121.4,4909.2,0.2095,1.38
19,GA,41.1,exposure_deficit,0.1142225387316302,-0.8363306527075567,1.1545343195110738,342.7,2751.3,0.0873,1.026
20,DE,41.1,infra_concentration,-0.8118064854000739,1.4527253459656801,0.06984341648336685,109.7,3395.9,0.3192,1.447
21,NJ,37.9,infra_concentration,-0.7983634734663249,1.050152467608232,0.17922400878794736,108.2,5132.7,0.1302,1.143
22,CT,36.3,infra_concentration,-0.608095535258106,0.7890323836072606,-0.025485712761348263,193.4,3781.5,0.2061,1.484
23,OR,34.4,exposure_deficit,-0.7992331363840119,-0.25357610856948454,1.3632278186684235,122.9,3262.9,0.1185,0.945
24,SD,33.9,exposure_deficit,-0.8011260323073768,-0.5046922895736434,1.6125601509181982,78.1,2998.2,0.1086,0.979
25,NC,33.8,exposure_deficit,-0.19680526133662965,-0.9562512733949127,1.062950801515984,262.5,2840.5,0.0653,0.8
