state,default,even,outage_heavy,structure_heavy
WV,1,1,3,1
MS,2,2,2,2
ME,3,3,1,13
OK,4,6,4,10
AR,5,5,5,5
KY,6,7,6,8
RI,7,4,14,3
LA,8,8,8,7
HI,9,10,9,11
MI,10,17,7,28
AK,11,13,11,22
MA,12,11,15,6
WA,13,12,18,9
NH,14,18,13,21
DC,15,9,21,4
VT,16,16,12,20
TN,17,29,10,42
WY,18,15,25,14
GA,19,19,16,19
DE,20,14,26,12
NJ,21,20,28,15
CT,22,23,27,18
OR,23,21,29,16
SD,24,22,30,17
NC,25,24,20,27
IN,26,33,19,34
OH,27,30,22,30
TX,28,36,17,41
MT,29,27,35,25
ID,30,25,32,23
NM,31,28,31,26
VA,32,32,24,31
AZ,33,26,36,24
UT,34,31,37,29
ND,35,34,34,33
FL,36,35,38,32
AL,37,42,23,46
KS,38,37,33,35
NY,39,38,39,40
NV,40,39,43,37
WI,41,44,42,43
MN,42,40,44,39
SC,43,45,40,44
PA,44,46,41,45
IA,45,43,45,38
NE,46,41,47,36
MD,47,47,46,47
IL,48,48,50,48
CO,49,49,51,49
MO,50,51,48,51
CA,51,50,49,50
